garden-path,1 a,Die Musikerin vom Leipziger Sinfonieorchester*lobten*die Dirigenten*begeistert in der Pressekonferenz.
garden-path,1 b,Die Musikerinnen vom Leipziger Sinfonieorchester*lobten*den Dirigenten*begeistert in der Pressekonferenz.
garden-path,1 c,Die Musikerinnen vom Leipziger Sinfonieorchester*lobte*der Dirigent*begeistert in der Pressekonferenz.
garden-path,1 d,Die Musikerin vom Leipziger Sinfonieorchester*lobte*die Dirigenten*begeistert in der Pressekonferenz.
garden-path,2 a,Die Lektorin aus dem französischen Verlag*begrüßten*die Professoren*besonders herzlich.
garden-path,2 b,Die Lektorinnen aus dem französischen Verlag*begrüßten*den Professor*besonders herzlich.
garden-path,2 c,Die Lektorinnen aus dem französischen Verlag*begrüßte*der Professor*besonders herzlich.
garden-path,2 d,Die Lektorin aus dem französischen Verlag*begrüßte*die Professoren*besonders herzlich.
garden-path,3 a,Die Chefin aus dem Design-Büro*haben*die Kunden*kürzlich eingeladen.
garden-path,3 b,Die Chefinnen aus dem Design-Büro*haben*einen Kunden*kürzlich eingeladen.
garden-path,3 c,Die Chefinnen aus dem Design-Büro*hat*ein Kunde*kürzlich eingeladen.
garden-path,3 d,Die Chefin aus dem Design-Büro*hat*die Kunden*kürzlich eingeladen.
garden-path,4 a,Die Illustratorin von der Kunstakademie*lobten*die Verleger*einstimmig für ihr Engagement.
garden-path,4 b,Die Illustratorinnen von der Kunstakademie*lobten*den Verleger*einstimmig für sein Engagement.
garden-path,4 c,Die Illustratorinnen von der Kunstakademie*lobte*der Verleger*einstimmig für ihr Engagement.
garden-path,4 d,Die Illustratorin von der Kunstakademie*lobte*die Verleger*einstimmig für ihr Engagement.
garden-path,5 a,Die Kuratorin der Skulpturenabteilung*überzeugten*die Kritiker*durch ihr beeindruckendes Fachwissen.
garden-path,5 b,Die Kuratorinnen der Skulpturenabteilung*überzeugten*den Kritiker*durch ihr beeindruckendes Fachwissen.
garden-path,5 c,Die Kuratorinnen der Skulpturenabteilung*überzeugte*der Kritiker*durch sein beeindruckendes Fachwissen.
garden-path,5 d,Die Kuratorin der Skulpturenabteilung*überzeugte*die Kritiker*durch ihr beeindruckendes Fachwissen.
garden-path,6 a,Die Tierpflegerin bei den Elephanten*haben*die Schüler*aufmerksam beim Reinigen des Stalls beobachtet.
garden-path,6 b,Die Tierpflegerinnen bei den Elephanten*haben*einen Schüler*aufmerksam beim Reinigen des Stalls beobachtet.
garden-path,6 c,Die Tierpflegerinnen bei den Elephanten*hat*ein Schüler*aufmerksam beim Reinigen des Stalls beobachtet.
garden-path,6 d,Die Tierpflegerin bei den Elephanten*hat*die Schüler*aufmerksam beim Reinigen des Stalls beobachtet.
garden-path,7 a,Die Sammlerin aus der Wiener Kunststiftung*entdeckten*die Münzhändler*gleich nach der Eröffnung.
garden-path,7 b,Die Sammlerinnen aus der Wiener Kunststiftung*entdeckten*den Münzhändler*gleich nach der Eröffnung.
garden-path,7 c,Die Sammlerinnen aus der Wiener Kunststiftung*entdeckte*der Münzhändler*gleich nach der Eröffnung.
garden-path,7 d,Die Sammlerin aus der Wiener Kunststiftung*entdeckte*die Münzhändler*gleich nach der Eröffnung.
garden-path,8 a,Die Anwältin aus dem Büro am Marienplatz*kritisierten*die Richter*scharf nach der Urteilsverkündung.
garden-path,8 b,Die Anwältinnen aus dem Büro am Marienplatz*kritisierten*den Richter*scharf nach der Urteilsverkündung.
garden-path,8 c,Die Anwältinnen aus dem Büro am Marienplatz*kritisierte*der Richter*scharf nach der Urteilsverkündung.
garden-path,8 d,Die Anwältin aus dem Büro am Marienplatz*kritisierte*die Richter*scharf nach der Urteilsverkündung.
garden-path,9 a,Die Nachwuchsspielerin vom Hamburger Schachverein*besiegten*die Favoriten*souverän in der Finalrunde.
garden-path,9 b,Die Nachwuchsspielerinnen vom Hamburger Schachverein*besiegten*den Favoriten*souverän in der Finalrunde.
garden-path,9 c,Die Nachwuchsspielerinnen vom Hamburger Schachverein*besiegte*der Favorit*souverän in der Finalrunde.
garden-path,9 d,Die Nachwuchsspielerin vom Hamburger Schachverein*besiegte*die Favoriten*souverän in der Finalrunde.
garden-path,10 a,Die Rechtsanwältin aus der Kanzlei am Opernplatz*lobten*die Richter*nach dem Plädoyer für ihre akribische Vorbereitung.
garden-path,10 b,Die Rechtsanwältinnen aus der Kanzlei am Opernplatz*lobten*den Richter*nach dem Plädoyer für seine akribische Vorbereitung.
garden-path,10 c,Die Rechtsanwältinnen aus der Kanzlei am Opernplatz*lobte*der Richter*nach dem Plädoyer für ihre akribische Vorbereitung.
garden-path,10 d,Die Rechtsanwältin aus der Kanzlei am Opernplatz*lobte*die Richter*nach dem Plädoyer für ihre akribische Vorbereitung.
garden-path,11 a,Die Restauratorin aus dem Rijksmuseum*betrachteten*die ersten Besucher*neugierig während der Vorführung.
garden-path,11 b,Die Restauratorinnen aus dem Rijksmuseum*betrachteten*den ersten Besucher*neugierig während der Vorführung.
garden-path,11 c,Die Restauratorinnen aus dem Rijksmuseum*betrachtete*der ersten Besucher*neugierig während der Vorführung.
garden-path,11 d,Die Restauratorin aus dem Rijksmuseum*betrachtete*die ersten Besucher*neugierig während der Vorführung.
garden-path,12 a,Die Polizistin aus der Sondereinheit Delta*trafen*die Ermittler des Landeskriminalamtes*am Nachmittag in der Küche des Restaurants.
garden-path,12 b,Die Polizistinnen aus der Sondereinheit Delta*trafen*den Ermittler des Landeskriminalamtes*am Nachmittag in der Küche des Restaurants.
garden-path,12 c,Die Polizistinnen aus der Sondereinheit Delta*traf*der Ermittler des Landeskriminalamtes*am Nachmittag in der Küche des Restaurants.
garden-path,12 d,Die Polizistin aus der Sondereinheit Delta*traf*die Ermittler des Landeskriminalamtes*am Nachmittag in der Küche des Restaurants.
garden-path,13 a,Die Sängerin aus dem Ensemble der Mailänder Scala*begrüßten*die Regisseure*begeistert nach der Aufführung im Foyer.
garden-path,13 b,Die Sängerinnen aus dem Ensemble der Mailänder Scala*begrüßten*den Regisseur*begeistert nach der Aufführung im Foyer.
garden-path,13 c,Die Sängerinnen aus dem Ensemble der Mailänder Scala*begrüßte*der Regisseur*begeistert nach der Aufführung im Foyer.
garden-path,13 d,Die Sängerin aus dem Ensemble der Mailänder Scala*begrüßte*die Regisseure*begeistert nach der Aufführung im Foyer.
garden-path,14 a,Die Kuratorin aus dem Neuen Museum*überraschten*die Künstler*während der Ausstellungseröffnung am Abend.
garden-path,14 b,Die Kuratorinnen aus dem Neuen Museum*überraschten*einen Künstler*während der Ausstellungseröffnung am Abend.
garden-path,14 c,Die Kuratorinnen aus dem Neuen Museum*überraschte*ein Künstler*während der Ausstellungseröffnung am Abend.
garden-path,14 d,Die Kuratorin aus dem Neuen Museum*überraschte*die Künstler*während der Ausstellungseröffnung am Abend.
